eligible,turnout,voters
19638,45.4,8915
34787,32.75,11393
516,37.4,193
18791,33.0,6201
15739,43.95,6918
34969,35.32,12351
37704,31.78,11981
51232,36.29,18591
19481,41.51,8087
698,49.71,347
15988,38.08,6089
29075,37.28,10840
4376,32.27,1412
9498,32.45,3082
1814,38.48,698
42492,33.3,14151
833,55.82,465
9775,34.67,3389
656,46.49,305
450,39.11,176
52494,30.65,16090
26672,37.42,9980
23956,33.75,8086
27083,36.59,9909
23803,38.08,9065
493,42.39,209
1315,31.1,409
3110,39.81,1238
2827,49.38,1396
937,27.32,256
6423,37.93,2436
980,35.71,350
36760,44.39,16318
1371,47.41,650
23139,39.76,9199
8308,28.09,2334
32657,36.85,12034
1317,31.89,420
7407,31.28,2317
6432,43.11,2773
322,44.1,142
13992,35.51,4969
2154,37.51,808
16238,34.57,5613
412,50.24,207
2253,40.7,917
1006,31.11,313
2588,36.67,949
1554,34.49,536
1309,35.14,460
690,32.32,223
1430,30.84,441
12772,35.75,4566
615,44.72,275
28919,39.13,11316
3845,41.01,1577
486,54.12,263
3491,35.23,1230
6327,32.46,2054
13362,29.52,3944
7639,38.08,2909
674,33.53,226
888,30.41,270
5428,35.8,1943
1809,33.55,607
5428,35.8,1943
583,31.05,181
853,40.8,348
616,25.49,157
10462,42.99,4498
636,40.09,255
1093,33.49,366
8301,32.96,2736
822,33.45,275
2294,35.09,805
5417,25.88,1402
1985,35.26,700
915,34.86,319
14358,34.09,4894
1125,36.98,416
532,52.63,280
